selection_index,dataset,pair_id,video_id,system,error_type,label,negative_difficulty,dynamic_group,motion_stratum,visibility_stratum,temporal_gap,temporal_gap_bin,diagnosis_category,diagnosis,gallery_crop_path_a,gallery_crop_path_b,C_score,C_threshold,D_score,D_threshold,camera_displacement,camera_rotation_degrees,normalized_camera_displacement
1,movi_e,4bf52066d2e12f00cb0626da,145,C_camera_geometry,false_positive,0,easy,static,low,high,5,short_1_5,ambiguous_appearance,Different-category objects still produce an unusually match-like appearance and geometry score.,assets/01_movi_e_4bf52066d2e12f00cb0626da_a.png,assets/01_movi_e_4bf52066d2e12f00cb0626da_b.png,0.921609160094,0.7944241491812737,0.930341121475,0.8433480914314616,0.201087455061,1.025943657475,0.017706980164
2,movi_e,8046546595c462a6320c7fc3,8799,C_camera_geometry,false_positive,0,easy,dynamic,medium,high,14,long_12_23,ambiguous_appearance,Different-category objects still produce an unusually match-like appearance and geometry score.,assets/02_movi_e_8046546595c462a6320c7fc3_a.png,assets/02_movi_e_8046546595c462a6320c7fc3_b.png,0.866756771515,0.7944241491812737,0.642300445513,0.8433480914314616,0.315142548274,2.823874980922,0.02703236765
3,movi_e,41b348d160a5bf6cfc8236d7,8932,C_camera_geometry,false_positive,0,hard,static,high,medium,6,medium_6_11,matched_category_distractor,"Matched-category, similar-scale distractor remains compatible in appearance and geometry.",assets/03_movi_e_41b348d160a5bf6cfc8236d7_a.png,assets/03_movi_e_41b348d160a5bf6cfc8236d7_b.png,0.93620459046,0.7944241491812737,0.887226810991,0.8433480914314616,0.807802415026,8.138897961055,0.078983622456
4,movi_e,b32f54423ef3e8ab2ec492fa,8070,D_pose_aligned_geometry,false_positive,0,easy,dynamic,medium,low,6,medium_6_11,occlusion_truncated_mask,Low support or an image-edge-truncated mask hides cues that separate these objects.,assets/04_movi_e_b32f54423ef3e8ab2ec492fa_a.png,assets/04_movi_e_b32f54423ef3e8ab2ec492fa_b.png,0.965654127525,0.7944241491812737,0.915695681338,0.8433480914314616,0.665092589723,4.648976689936,0.079905087065
5,movi_e,77461af8237a0d9ccc426bae,70,D_pose_aligned_geometry,false_positive,0,hard,dynamic,low,high,7,medium_6_11,matched_category_distractor,"Matched-category, similar-scale distractor remains compatible in appearance and geometry.",assets/05_movi_e_77461af8237a0d9ccc426bae_a.png,assets/05_movi_e_77461af8237a0d9ccc426bae_b.png,0.735889269675,0.7944241491812737,0.897945236932,0.8433480914314616,0.084423084967,0.581223589145,0.007434724297
6,movi_e,2506686c1d87b8036c6bdbf8,2735,D_pose_aligned_geometry,false_positive,0,hard,static,high,low,19,long_12_23,matched_category_distractor,"Matched-category, similar-scale distractor remains compatible in appearance and geometry.",assets/06_movi_e_2506686c1d87b8036c6bdbf8_a.png,assets/06_movi_e_2506686c1d87b8036c6bdbf8_b.png,0.784361291539,0.7944241491812737,0.858347961094,0.8433480914314616,2.3533188979,13.35079787816,0.231685104869
7,movi_e,294210d808502c8f526a3472,1912,C_camera_geometry,false_negative,1,,dynamic,low,medium,3,short_1_5,long_gap_motion,Object motion or a long temporal gap shifts appearance and visible geometry below threshold.,assets/07_movi_e_294210d808502c8f526a3472_a.png,assets/07_movi_e_294210d808502c8f526a3472_b.png,0.769213023346,0.7944241491812737,0.824893335132,0.8433480914314616,0.039800978012,0.190560609141,0.004104270765
8,movi_e,073a1622c6cde7cfb87b511b,6015,C_camera_geometry,false_negative,1,,dynamic,high,medium,10,medium_6_11,camera_motion_misalignment,Camera-space geometry drifts under high camera motion while pose-aligned D remains correct.,assets/08_movi_e_073a1622c6cde7cfb87b511b_a.png,assets/08_movi_e_073a1622c6cde7cfb87b511b_b.png,0.528722572907,0.7944241491812737,0.943884538859,0.8433480914314616,1.184154974394,4.91102993427,0.130150791391
9,movi_e,e38315516d290d47c84b534f,6015,C_camera_geometry,false_negative,1,,static,high,medium,21,long_12_23,camera_motion_misalignment,Camera-space geometry drifts under high camera motion while pose-aligned D remains correct.,assets/09_movi_e_e38315516d290d47c84b534f_a.png,assets/09_movi_e_e38315516d290d47c84b534f_b.png,0.527492106645,0.7944241491812737,0.846426069518,0.8433480914314616,2.486725466773,8.894592993048,0.25406806261
10,movi_e,3980ddbfac44fa38a2655fe0,5037,D_pose_aligned_geometry,false_negative,1,,static,low,medium,4,short_1_5,biased_depth_estimate,Visible-surface depth or centroid changes unusually strongly across the two observations.,assets/10_movi_e_3980ddbfac44fa38a2655fe0_a.png,assets/10_movi_e_3980ddbfac44fa38a2655fe0_b.png,0.470314610808,0.7944241491812737,0.646849127185,0.8433480914314616,0.234353588846,1.077875224036,0.022986224228
11,movi_e,886e30eb3c7569fbd954c54c,2470,D_pose_aligned_geometry,false_negative,1,,dynamic,low,medium,4,short_1_5,biased_depth_estimate,Visible-surface depth or centroid changes unusually strongly across the two observations.,assets/11_movi_e_886e30eb3c7569fbd954c54c_a.png,assets/11_movi_e_886e30eb3c7569fbd954c54c_b.png,0.912406691902,0.7944241491812737,0.637356909944,0.8433480914314616,0.212334285573,1.712020036947,0.018823843273
12,movi_e,ef05607be4b81db472c8208c,6378,D_pose_aligned_geometry,false_negative,1,,static,high,low,14,long_12_23,pose_transform_error,Possible pose-transform or visible-surface instability makes D miss a pair that C retains.,assets/12_movi_e_ef05607be4b81db472c8208c_a.png,assets/12_movi_e_ef05607be4b81db472c8208c_b.png,0.805088672134,0.7944241491812737,0.483619422312,0.8433480914314616,1.200232279895,5.841658306753,0.105953787139
13,movi_d,b141ac19d142257407e7288e,3916,C_camera_geometry,false_positive,0,easy,dynamic,zero,medium,13,long_12_23,ambiguous_appearance,Different-category objects still produce an unusually match-like appearance and geometry score.,assets/13_movi_d_b141ac19d142257407e7288e_a.png,assets/13_movi_d_b141ac19d142257407e7288e_b.png,0.767421086543,0.6962462972904153,0.976785607049,0.790494637825973,0.0,0.0,0.0
14,movi_d,2d06983d96e7bd29aa6f5de4,3702,C_camera_geometry,false_positive,0,hard,dynamic,zero,high,15,long_12_23,matched_category_distractor,"Matched-category, similar-scale distractor remains compatible in appearance and geometry.",assets/14_movi_d_2d06983d96e7bd29aa6f5de4_a.png,assets/14_movi_d_2d06983d96e7bd29aa6f5de4_b.png,0.87319560969,0.6962462972904153,0.962726391208,0.790494637825973,0.0,0.0,0.0
15,movi_d,e41fd785bad32aa26b835a20,8337,C_camera_geometry,false_positive,0,hard,static,zero,medium,5,short_1_5,matched_category_distractor,"Matched-category, similar-scale distractor remains compatible in appearance and geometry.",assets/15_movi_d_e41fd785bad32aa26b835a20_a.png,assets/15_movi_d_e41fd785bad32aa26b835a20_b.png,0.878972425087,0.6962462972904153,0.750012776519,0.790494637825973,0.0,0.0,0.0
16,movi_d,c10b3db3e2b0044b10e3b7f4,9403,D_pose_aligned_geometry,false_positive,0,easy,dynamic,zero,low,7,medium_6_11,occlusion_truncated_mask,Low support or an image-edge-truncated mask hides cues that separate these objects.,assets/16_movi_d_c10b3db3e2b0044b10e3b7f4_a.png,assets/16_movi_d_c10b3db3e2b0044b10e3b7f4_b.png,0.417993300481,0.6962462972904153,0.794289482805,0.790494637825973,0.0,0.0,0.0
17,movi_d,0afe3711d76ab6cd2ef40406,7200,D_pose_aligned_geometry,false_positive,0,easy,static,zero,low,5,short_1_5,occlusion_truncated_mask,Low support or an image-edge-truncated mask hides cues that separate these objects.,assets/17_movi_d_0afe3711d76ab6cd2ef40406_a.png,assets/17_movi_d_0afe3711d76ab6cd2ef40406_b.png,0.903566129569,0.6962462972904153,0.918729006734,0.790494637825973,0.0,0.0,0.0
18,movi_d,05db8091b8aaa9278833eb14,3188,D_pose_aligned_geometry,false_positive,0,hard,static,zero,high,10,medium_6_11,matched_category_distractor,"Matched-category, similar-scale distractor remains compatible in appearance and geometry.",assets/18_movi_d_05db8091b8aaa9278833eb14_a.png,assets/18_movi_d_05db8091b8aaa9278833eb14_b.png,0.940646982217,0.6962462972904153,0.88921614639,0.790494637825973,0.0,0.0,0.0
19,movi_d,62fe3027c0730fc234380992,4199,C_camera_geometry,false_negative,1,,dynamic,zero,medium,11,medium_6_11,biased_depth_estimate,Visible-surface depth or centroid changes unusually strongly across the two observations.,assets/19_movi_d_62fe3027c0730fc234380992_a.png,assets/19_movi_d_62fe3027c0730fc234380992_b.png,0.007581893345,0.6962462972904153,0.010187495648,0.790494637825973,0.0,0.0,0.0
20,movi_d,a813444b4926781cf1f689f5,7175,C_camera_geometry,false_negative,1,,dynamic,zero,high,3,short_1_5,long_gap_motion,Object motion or a long temporal gap shifts appearance and visible geometry below threshold.,assets/20_movi_d_a813444b4926781cf1f689f5_a.png,assets/20_movi_d_a813444b4926781cf1f689f5_b.png,0.548499662252,0.6962462972904153,0.737907357202,0.790494637825973,0.0,0.0,0.0
21,movi_d,1898d0539a07088953a69103,4262,C_camera_geometry,false_negative,1,,static,zero,high,19,long_12_23,long_gap_motion,Object motion or a long temporal gap shifts appearance and visible geometry below threshold.,assets/21_movi_d_1898d0539a07088953a69103_a.png,assets/21_movi_d_1898d0539a07088953a69103_b.png,0.477805014877,0.6962462972904153,0.458950925804,0.790494637825973,0.0,0.0,0.0
22,movi_d,6f5b326004394a9682aa03a0,9599,D_pose_aligned_geometry,false_negative,1,,dynamic,zero,low,3,short_1_5,occlusion_truncated_mask,Occlusion or image-edge truncation removes reliable same-instance surface evidence.,assets/22_movi_d_6f5b326004394a9682aa03a0_a.png,assets/22_movi_d_6f5b326004394a9682aa03a0_b.png,0.06840751736,0.6962462972904153,0.114481331313,0.790494637825973,0.0,0.0,0.0
23,movi_d,e3f888374fed58012b5263c8,8932,D_pose_aligned_geometry,false_negative,1,,static,zero,low,6,medium_6_11,biased_depth_estimate,Visible-surface depth or centroid changes unusually strongly across the two observations.,assets/23_movi_d_e3f888374fed58012b5263c8_a.png,assets/23_movi_d_e3f888374fed58012b5263c8_b.png,0.35137447572,0.6962462972904153,0.186880485117,0.790494637825973,0.0,0.0,0.0
24,movi_d,0fb47da97b7a62e9f4acdd33,8589,D_pose_aligned_geometry,false_negative,1,,static,zero,high,19,long_12_23,long_gap_motion,Object motion or a long temporal gap shifts appearance and visible geometry below threshold.,assets/24_movi_d_0fb47da97b7a62e9f4acdd33_a.png,assets/24_movi_d_0fb47da97b7a62e9f4acdd33_b.png,0.673427338942,0.6962462972904153,0.787695360028,0.790494637825973,0.0,0.0,0.0
