selection_index,pair_id,configuration,error_type,label,video_id,temporal_gap,temporal_gap_bin,negative_difficulty,visibility_stratum,motion_stratum,threshold,threshold_margin,diagnosis_category,diagnosis,frame_index_a,frame_index_b,instance_index_a,instance_index_b,gallery_crop_path_a,gallery_crop_path_b,score_A_rgb_only,score_B_rgb_2d,score_C_rgb_2d_3d,score_geometry_only
1,a794e37bba038cd8b9bb2617,A_rgb_only,false_positive,0,9403,4,short,hard,low,medium,0.4627167893231564,0.37338251354484364,matched_attribute_distractor,Matched-attribute distractor remains similar in appearance and pair controls.,15,19,7,6,assets/01_a794e37bba038cd8b9bb2617_a.png,assets/01_a794e37bba038cd8b9bb2617_b.png,0.836099302868,0.854720273042,0.481104135363,0.303995114351
2,ee3fcc32d93e7234272a7c62,B_rgb_2d,false_positive,0,8879,5,short,easy,medium,high,0.43170553389623967,0.2526985469017603,easy_distractor_similarity,A different-attribute distractor still receives an unusually high similarity score.,6,11,4,1,assets/02_ee3fcc32d93e7234272a7c62_a.png,assets/02_ee3fcc32d93e7234272a7c62_b.png,0.646455696274,0.684404080798,0.65230862204,0.58705087892
3,dadc684204abe876ed5ce676,C_rgb_2d_3d,false_positive,0,2854,5,short,hard,high,low,0.37928010903953285,0.07753870788446715,matched_attribute_distractor,Matched-attribute distractor remains similar in appearance and pair controls.,10,15,1,0,assets/03_dadc684204abe876ed5ce676_a.png,assets/03_dadc684204abe876ed5ce676_b.png,0.344712866376,0.376735075135,0.456818816924,0.627351947275
4,0caa38fa4c015317cb32cedc,geometry_only,false_positive,0,7772,4,short,easy,low,low,0.45117200198761054,0.47779133206638946,occlusion_truncated_mask,Low visibility or a truncated mask hides cues that separate this distractor.,8,12,3,2,assets/04_0caa38fa4c015317cb32cedc_a.png,assets/04_0caa38fa4c015317cb32cedc_b.png,0.298377287456,0.492520278494,0.838080161786,0.928963334054
5,3f414578353f5e86e2a9072f,A_rgb_only,false_negative,1,6268,4,short,,medium,high,0.4627167893231564,0.3486061554361564,long_gap_motion,Long-gap motion or viewpoint change lowers similarity for the same instance.,1,5,4,4,assets/05_3f414578353f5e86e2a9072f_a.png,assets/05_3f414578353f5e86e2a9072f_b.png,0.114110633887,0.067902591562,0.300778277559,0.796437666954
6,bd6faec7edd1e581319c3474,B_rgb_2d,false_negative,1,8193,5,short,,high,medium,0.43170553389623967,0.18545958677123967,control_drift,The same object's 2D or 3D controls drift enough to cross the fixed threshold.,5,10,0,0,assets/06_bd6faec7edd1e581319c3474_a.png,assets/06_bd6faec7edd1e581319c3474_b.png,0.3075382848,0.246245947125,0.510759136237,0.739817106813
7,0897564abf51782512199788,C_rgb_2d_3d,false_negative,1,9009,4,short,,low,high,0.37928010903953285,0.29997291823053285,occlusion_truncated_mask,Occlusion- or image-edge-truncated mask removes reliable same-instance cues.,5,9,7,7,assets/07_0897564abf51782512199788_a.png,assets/07_0897564abf51782512199788_b.png,0.111580796832,0.137785361395,0.079307190809,0.349353674509
8,4fc1bec9cf2f3a4fcc66817f,geometry_only,false_negative,1,3851,3,short,,medium,high,0.45117200198761054,0.26714204299361055,long_gap_motion,Long-gap motion or viewpoint change lowers similarity for the same instance.,0,3,2,2,assets/08_4fc1bec9cf2f3a4fcc66817f_a.png,assets/08_4fc1bec9cf2f3a4fcc66817f_b.png,0.675307066358,0.73569445497,0.14673630369,0.184029958994
9,4dcbfdbfa7d88b8ab0560790,A_rgb_only,false_positive,0,8193,6,medium,easy,high,medium,0.4627167893231564,0.09449031021184362,occlusion_truncated_mask,Low visibility or a truncated mask hides cues that separate this distractor.,1,7,1,2,assets/09_4dcbfdbfa7d88b8ab0560790_a.png,assets/09_4dcbfdbfa7d88b8ab0560790_b.png,0.557207099535,0.143950536262,0.087248105495,0.061124675142
10,4eaf79067e28b98e54f52567,B_rgb_2d,false_positive,0,8879,9,medium,hard,medium,low,0.43170553389623967,0.45356513178276037,matched_attribute_distractor,Matched-attribute distractor remains similar in appearance and pair controls.,11,20,1,6,assets/10_4eaf79067e28b98e54f52567_a.png,assets/10_4eaf79067e28b98e54f52567_b.png,0.658755492972,0.885270665679,0.936833725502,0.910999794484
11,02f09cf42fb573326d4630a4,C_rgb_2d_3d,false_positive,0,6159,11,medium,easy,high,low,0.37928010903953285,0.29095498608046716,easy_distractor_similarity,A different-attribute distractor still receives an unusually high similarity score.,0,11,1,0,assets/11_02f09cf42fb573326d4630a4_a.png,assets/11_02f09cf42fb573326d4630a4_b.png,0.129288507556,0.155646019984,0.67023509512,0.866766780738
